0
ParentName,ParentSlotName,ItemId,ItemName,CategoryName,Weight,ErgonomicsModifier,AccuracyModifier,RecoilModifier,Loudness,Velocity,Ergonomics,FireRate,RecoilVertical,RecoilHorizontal,CenterOfImpact,DeviationCurve,DeviationMax,Avg24hPrice,Low24hPrice,LastLowPrice,LowestTraderPriceRUB,LowestTraderPriceName,LowestTraderPriceMinLevel,LowestTraderPriceTaskUnlockName,LowestBarterPriceRUB,LowestBarterPriceName,LowestBarterPriceTradeDescription
,,5447a9cd4bdc2dbd208b4567,Colt M4A1 5.56x45 assault rifle,Assault rifle,0.38,48,0,0,0,0,48,800,119,342,0,0,0,148890,49999,78799,20605,Mechanic,2,,0,0,0
,,5c0e2ff6d174af02a1659d4a,AR-15 ADAR 2-15 wooden stock,Stock,0.695,13,0,-20,0,0,0,0,0,0,0,0,0,5500,5500,5500,5887,Skier,1,,0,0,0
,,5c0e2f26d174af02a9625114,AR-15 ADAR 2-15 5.56x45 upper receiver,Receiver,0.27,4,0,0,0,0,0,0,0,0,0,0,0,3917,3917,3917,3818,Skier,1,,0,0,0
,,55d35ee94bdc2d61338b4568,AR-15 5.56x45 260mm barrel,Barrel,0.409,-7,0,-2,0,-16.31,0,0,0,0,0,0,0,24952,15000,25400,23235,Peacekeeper,3,,0,0,0
,,5ae30e795acfc408fb139a0b,M4A1 front sight with gas block,Gas block,0.15,-1,0,0,0,0,0,0,0,0,0,0,0,1261,22,2500,3124,Peacekeeper,1,,0,0,0
,,5c0e2f5cd174af02a012cfc9,AR-15 ADAR 2-15 wooden handguard,Handguard,0.385,7,0,0,0,0,0,0,0,0,0,0,0,1600,1600,1600,1840,Skier,1,,0,0,0
,,5a33ca0fc4a282000d72292f,AR-15 Colt A2 buffer tube,Stock,0.162,0,0,-1,0,0,0,0,0,0,0,0,0,15761,3333,9999,4410,Peacekeeper,2,,0,0,0
,,5c0faf68d174af02a96260b8,AR-15 ADAR 2-15 charging handle,Charging handle,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,694,Skier,1,,0,0,0



1
ParentName,ParentSlotName,ItemId,ItemName,CategoryName,Weight,ErgonomicsModifier,AccuracyModifier,RecoilModifier,Loudness,Velocity,Ergonomics,FireRate,RecoilVertical,RecoilHorizontal,CenterOfImpact,DeviationCurve,DeviationMax,Avg24hPrice,Low24hPrice,LastLowPrice,LowestTraderPriceRUB,LowestTraderPriceName,LowestTraderPriceMinLevel,LowestTraderPriceTaskUnlockName,LowestBarterPriceRUB,LowestBarterPriceName,LowestBarterPriceTradeDescription
,,5447a9cd4bdc2dbd208b4567,Colt M4A1 5.56x45 assault rifle,Assault rifle,0.38,48,0,0,0,0,48,800,119,342,0,0,0,148890,49999,78799,20605,Mechanic,2,,0,0,0
,,5a33e75ac4a2826c6e06d759,AR-15 Hera Arms CQR pistol grip/buttstock,Stock,0.499,20,0,-23,0,0,0,0,0,0,0,0,0,30833,20000,45999,49448,Mechanic,4,Gunsmith - Part 17,0,0,0
,,5c0e2f26d174af02a9625114,AR-15 ADAR 2-15 5.56x45 upper receiver,Receiver,0.27,4,0,0,0,0,0,0,0,0,0,0,0,3917,3917,3917,3818,Skier,1,,0,0,0
,,55d35ee94bdc2d61338b4568,AR-15 5.56x45 260mm barrel,Barrel,0.409,-7,0,-2,0,-16.31,0,0,0,0,0,0,0,24952,15000,25400,23235,Peacekeeper,3,,0,0,0
,,5ae30e795acfc408fb139a0b,M4A1 front sight with gas block,Gas block,0.15,-1,0,0,0,0,0,0,0,0,0,0,0,1261,22,2500,3124,Peacekeeper,1,,0,0,0
,,5c0e2f5cd174af02a012cfc9,AR-15 ADAR 2-15 wooden handguard,Handguard,0.385,7,0,0,0,0,0,0,0,0,0,0,0,1600,1600,1600,1840,Skier,1,,0,0,0
,,5a33ca0fc4a282000d72292f,AR-15 Colt A2 buffer tube,Stock,0.162,0,0,-1,0,0,0,0,0,0,0,0,0,15761,3333,9999,4410,Peacekeeper,2,,0,0,0
,,5c0faf68d174af02a96260b8,AR-15 ADAR 2-15 charging handle,Charging handle,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,694,Skier,1,,0,0,0



2
ParentName,ParentSlotName,ItemId,ItemName,CategoryName,Weight,ErgonomicsModifier,AccuracyModifier,RecoilModifier,Loudness,Velocity,Ergonomics,FireRate,RecoilVertical,RecoilHorizontal,CenterOfImpact,DeviationCurve,DeviationMax,Avg24hPrice,Low24hPrice,LastLowPrice,LowestTraderPriceRUB,LowestTraderPriceName,LowestTraderPriceMinLevel,LowestTraderPriceTaskUnlockName,LowestBarterPriceRUB,LowestBarterPriceName,LowestBarterPriceTradeDescription
,,5447a9cd4bdc2dbd208b4567,Colt M4A1 5.56x45 assault rifle,Assault rifle,0.38,48,0,0,0,0,48,800,119,342,0,0,0,148890,49999,78799,20605,Mechanic,2,,0,0,0
,,55d4b9964bdc2d1d4e8b456e,AR-15 Colt A2 pistol grip,Pistol grip,0.08,5,0,0,0,0,0,0,0,0,0,0,0,6340,950,3491,1474,Peacekeeper,1,,0,0,0
,,5c0e2f26d174af02a9625114,AR-15 ADAR 2-15 5.56x45 upper receiver,Receiver,0.27,4,0,0,0,0,0,0,0,0,0,0,0,3917,3917,3917,3818,Skier,1,,0,0,0
,,55d35ee94bdc2d61338b4568,AR-15 5.56x45 260mm barrel,Barrel,0.409,-7,0,-2,0,-16.31,0,0,0,0,0,0,0,24952,15000,25400,23235,Peacekeeper,3,,0,0,0
,,5ae30e795acfc408fb139a0b,M4A1 front sight with gas block,Gas block,0.15,-1,0,0,0,0,0,0,0,0,0,0,0,1261,22,2500,3124,Peacekeeper,1,,0,0,0
,,5c0e2f5cd174af02a012cfc9,AR-15 ADAR 2-15 wooden handguard,Handguard,0.385,7,0,0,0,0,0,0,0,0,0,0,0,1600,1600,1600,1840,Skier,1,,0,0,0
,,5a33ca0fc4a282000d72292f,AR-15 Colt A2 buffer tube,Stock,0.162,0,0,-1,0,0,0,0,0,0,0,0,0,15761,3333,9999,4410,Peacekeeper,2,,0,0,0
,,5c0faf68d174af02a96260b8,AR-15 ADAR 2-15 charging handle,Charging handle,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,694,Skier,1,,0,0,0



3
ParentName,ParentSlotName,ItemId,ItemName,CategoryName,Weight,ErgonomicsModifier,AccuracyModifier,RecoilModifier,Loudness,Velocity,Ergonomics,FireRate,RecoilVertical,RecoilHorizontal,CenterOfImpact,DeviationCurve,DeviationMax,Avg24hPrice,Low24hPrice,LastLowPrice,LowestTraderPriceRUB,LowestTraderPriceName,LowestTraderPriceMinLevel,LowestTraderPriceTaskUnlockName,LowestBarterPriceRUB,LowestBarterPriceName,LowestBarterPriceTradeDescription
,,5447a9cd4bdc2dbd208b4567,Colt M4A1 5.56x45 assault rifle,Assault rifle,0.38,48,0,0,0,0,48,800,119,342,0,0,0,148890,49999,78799,20605,Mechanic,2,,0,0,0
,,571659bb2459771fb2755a12,AR-15 Damage Industries ECS pistol grip (FDE),Pistol grip,0.08,5.5,0,0,0,0,0,0,0,0,0,0,0,8195,1420,5000,1839,Skier,2,,0,0,0
,,5c0e2f26d174af02a9625114,AR-15 ADAR 2-15 5.56x45 upper receiver,Receiver,0.27,4,0,0,0,0,0,0,0,0,0,0,0,3917,3917,3917,3818,Skier,1,,0,0,0
,,55d35ee94bdc2d61338b4568,AR-15 5.56x45 260mm barrel,Barrel,0.409,-7,0,-2,0,-16.31,0,0,0,0,0,0,0,24952,15000,25400,23235,Peacekeeper,3,,0,0,0
,,5ae30e795acfc408fb139a0b,M4A1 front sight with gas block,Gas block,0.15,-1,0,0,0,0,0,0,0,0,0,0,0,1261,22,2500,3124,Peacekeeper,1,,0,0,0
,,5c0e2f5cd174af02a012cfc9,AR-15 ADAR 2-15 wooden handguard,Handguard,0.385,7,0,0,0,0,0,0,0,0,0,0,0,1600,1600,1600,1840,Skier,1,,0,0,0
